"asset_type","struct","field","offset","size","serialized_type","readiness","ps3_evidence","observed_values","xbox_correlation","notes"
"LightDef","LightDefAsset","SamplerState","0x08","0x01","byte","RESOLVED","EBOOT LightDef body 0x1089a0 copies root size 0x10 and resolves the embedded image pointer at +0x04; no additional payload is consumed for +0x08","common_mp asset 10059: 0x62","Xbox default_mp map places Load_GfxLightImage immediately before Load_GfxLightDef; GfxLightDef embeds GfxLightImage at +0x04, making +0x08 the GfxLightImage sampler state","Former Unknown08 split into SamplerState plus pad09To0B"
"LightDef","LightDefAsset","Pad09To0B","0x09","0x03","byte[3]","RESOLVED","EBOOT LightDef body 0x1089a0 root size/alignment leaves three bytes between samplerState and +0x0C int32","common_mp asset 10059: 00 00 00","Xbox-correlated struct alignment after GfxLightImage.samplerState","Padding; not a semantic-name gap"
"LightDef","LightDefAsset","LmapLookupStart","0x0C","0x04","uint32","RESOLVED","EBOOT LightDef body 0x1089a0 copies root size 0x10 after resolving name and embedded GfxLightImage.image","common_mp asset 10059: 0x00000001","Xbox GfxLightDef field name correlated from loader family and renderer symbol R_SetLightProperties(GfxLightDef*)","Former Unknown0C"
"Image","GfxImageAsset","DimensionCount","0x02","0x01","byte","RESOLVED","default_mp Image_Setup at 0x00358088 derives values 1/2/3 from map shape and calls helper 0x00357e68; helper stores that argument to GfxImage+0x02. SetupRenderTarget path 0x00357d18 stores 2 for 2D render targets.","Image_Setup writes 1 for 1D, 2 for 2D/cube, 3 for 3D; SetupRenderTarget writes 2","Xbox GfxImage layout differs; PS3 setup flow proves this as a dimensional class byte, not GfxImageCategory","Former Unknown02; corrected from Category after proving GfxImageCategory at +0x1A"
"Image","GfxImageAsset","RootBytes","0x00","0x50","byte[]","RESOLVED","Active GfxImage root snapshot removed; default_mp setup/helper consumers split the root into format/count/category/multiface/flags/dimensions/pixel-block/pitch/pixels-offset/map/semantic/card-memory/base-dimensions/payload/name fields.","common_mp loads with explicit 0x50 root fields","Xbox default_mp GfxImage names correlate for category/mapType/semantic/width/height/depth/levelCount/name after PS3 offsets are proven","Texture payload itself is not counted as a semantic gap; remaining open bytes are tracked as exact fields below"
"Image","GfxImageAsset","Category","0x1A","0x01","byte","RESOLVED","default_mp helper 0x00355420 computes GfxImage slots with stride 0x50 and stores arg2 to +0x1A, arg3 to TextureSemantic +0x19, and name pointer to +0x4C. Callers pass GfxImageCategory-like values: raw 4 at 0x00362cb0, render target 6 at 0x0036ce10/0x0036d5b0, and generated/lightmap/temp-style values 2/3 through 0x0036d080.","common_mp observed: 0x03 for normal file-backed images, 0x00 for null shells; setup helpers pass 2, 3, 4, 6","Xbox GfxImage field order is mapType @0x38, semantic @0x39, category @0x3A; PS3 has the same semantic trio at +0x18/+0x19/+0x1A with platform-specific root packing","Former Unknown1A"
"Image","GfxImageAsset","Pad1B","0x1B","0x01","byte","RESOLVED","GfxImage root copies this inline byte between Category +0x1A and CardMemory +0x1C; default_mp byte-site scan found no proven GfxImage root consumer/writer for +0x1B. The only tiny +0x1B setter at 0x003ae278 is called by local non-loader helpers and is not tied to the 0x50-byte image asset root.","common_mp observed all root values 0x00; alignment byte before dword CardMemory","Xbox GfxImage has category followed by an aligned dword field, matching this as platform-layout padding after PS3 category is proven at +0x1A","Former Unknown1B"
"Image","GfxImageAsset","StreamData","0x2C","0x20","GfxImageStreamData[4]","RESOLVED","PS3 GfxImage root carries four contiguous 8-byte stream-data records from +0x2C through +0x4B. common_mp decoded-zone sampling of 1309 logged GfxImage roots verified the root bytes and shows zero records for non-streamed images and packed mip/stream records for streamed images; the former +0x48/+0x49..+0x4B bytes are the fourth record, not padding.","common_mp: 604 roots have all-zero stream data; streamed examples include 128x128:0x20005580, 256x256:0x24015580, 512x512:0x28055580, 1024x1024:0x2C000000","Xbox map/PDB correlation names GfxImageStreamData and its loader/marker family; PS3 packing differs in root offset but matches the stream-data role and 8-byte record stride","Former Unknown2CTo47 plus former Unknown48/Pad49To4B; record fields are Width, Height, LevelSizeAndOffset"
"Image","GfxImageStreamData","LevelSizeAndOffset","0x04","0x04","uint32","RESOLVED","Within each PS3 GfxImageStreamData record, the first two uint16 values are mip/stream dimensions and the trailing uint32 carries the packed level-size/offset word. Values progress with stream levels in common_mp, e.g. 0x20005580, 0x24015580, 0x28055580, 0x2C000000.","former GfxImage +0x48 is GfxImageStreamData[3].LevelSizeAndOffset byte 0, commonly 0x00/0x28/0x2C/0x30 depending on the fourth stream record","Xbox-correlated GfxImageStreamData record size is 0x08","Former Unknown48 row"
"XAnim","XAnimPartsAsset","Pad1F","0x1F","0x01","byte","RESOLVED","XAnim root loader copies this byte between assetType +0x1E and aligned int32 randomDataShortCount +0x20. EBOOT/default_mp byte-displacement scans found no XAnim-root consumer for +0x1F; loader does not branch on it or use it for child payloads.","common_mp decoded sampling of 2275 XAnim roots observed only 0x00 across assetType 1/2 and many flags/deltaFlags combinations","Xbox-correlated XAnim root keeps the following +0x20 field dword-aligned after assetType/count bytes","Former Unknown1F; layout padding"
"Fx","FxElemExtendedDef","DefaultBytePayload","","0x01","byte?","RESOLVED","EBOOT Load_FxElemExtendedDefPtr 0x000F5D20 branches on FxElemDef.elemType: Trail(3) loads FxTrailDef, SparkFountain(6) loads FxSparkFountainDef, and the default non-null branch aligns with mask 0 via 0x000F5CF0 then loads exactly one byte via 0x000EDEE8. The byte is a loader fallback union payload, not an observed named Fx behavior.","common_mp trace: 2042 FxElemDef rows; only Trail(12) and SparkFountain(18) have non-null extended pointers, and every other elemType has extended=0","Xbox default_mp.map names Load_FxElemExtendedDefPtr and only typed sibling loaders for FxTrailDef and FxSparkFountainDef; no named third extended payload appears in the map","Former UnknownValue; resolved as default byte payload contract. No common_mp asset exercises a non-null default branch."
"Fx","FxElemExtendedDefKind","DefaultBytePayload","","enum","enum value","RESOLVED","Classification value for the PS3 default branch of Load_FxElemExtendedDefPtr 0x000F5D20 when elemType is neither Trail nor SparkFountain and the extended pointer cell is non-null.","Not observed non-null in common_mp outside Trail/SparkFountain","Xbox loader symbols expose the pointer dispatcher plus Trail/SparkFountain typed payloads, matching this as a fallback rather than a named authored variant","Former Unknown enum value; not serialized by itself"
"Sound","SndAliasType","Unknown","","enum","enum value","RESOLVED","EBOOT SoundFile dispatcher 0x0010A468 only special-cases type value 1 as LoadedSound; every other value, including 0, follows the streamed SoundFile union path through 0x0010A420/0x0010A3D8. Xbox PDB/map strings expose the correlated enum name SAT_UNKNOWN and a runtime consumer named SND_IsNullSoundFile, so Unknown is retained as the source enum name rather than a local placeholder.","common_mp trace: 4920 SoundFile rows, 1320 Loaded(type 1), 3600 Streamed(type 2), no type 0; patch_mp has no SoundFile rows","Xbox default_mp.pdb strings include SAT_UNKNOWN, SAT_LOADED, SAT_STREAMED; maps repeatedly expose SND_IsNullSoundFile(SoundFile*)","Not serialized in local official fastfiles; resolved as an enum value name/branch contract, not an observed payload case"
"Sound","SoundFile","UnionRaw0/UnionRaw1/UnionRaw2","0x04","0x0C","int32[3]","RESOLVED","Active SoundFile model no longer exposes the 12-byte union as an opaque byte[] carrier. The loader reads the bytes privately, splits them into the three big-endian union words, and exposes branch-specific LoadedSoundPointer/LoadedSound or StreamedSound views. EBOOT dispatcher 0x0010A468 proves type 1 uses the first word as a LoadedSound pointer cell; non-loaded types use the streamed union path.","common_mp trace: Loaded rows use union word0 as inline/offset LoadedSound pointer and words1/2 are zero; Streamed rows use fileIndex=1 with raw offset/length words","Xbox names Load_SoundFile, Load_LoadedSound, Load_StreamedSound, and SoundFile/SoundFileRef; branch names correlate after PS3 dispatcher proof","Former active SoundFile.UnionData byte[] removed; ModelsOLD may retain historical raw bytes"
"Sound","LoadedSound","FrameCount/ChannelCount/SampleRate/Pad0E/Pad10","0x08","0x0A","uint16[5]","RESOLVED","LoadedSound loader copies the 0x1C-byte root and the five big-endian uint16 words sit between PhysicalDataByteCount and SeekTableCount. PS3 displacement scans for +0x08/+0x0A/+0x0C found no direct default_mp consumer, so FrameCount is value-pattern/correlation named while ChannelCount and SampleRate are value-proven.","common_mp 1174 LoadedSound rows: ChannelCount mostly 1/2 with two zero entries; SampleRate values 44100/22050/48000/32000/11025/0; trailing two words always zero; first word tracks loaded audio frame/block quantity and correlates with seek table count","Xbox PDB strings expose loaded-sound channel/sample-rate vocabulary including SND_SetSoundFileChannelInfo, sampleRate, and related XA seek-table symbols","Former SoundInfoBytes split into typed metadata words; Pad0E/Pad10 are layout padding/reserved zeros in common_mp"
"Sound","SndCurve","Knots","0x08","0x80","SndCurveKnot[16]","RESOLVED","SndCurve loader copies a fixed 0x88-byte root: FilenamePtr, KnotCount, two-byte pad, then 16 contiguous pairs of big-endian float values. The active model now exposes those 16 pairs as typed knots rather than an opaque byte array.","common_mp validates SndCurve as 0x88-byte roots with KnotCount plus fixed 16-pair payload; pointer validation proves materialized SndCurve targets at size 136","Xbox default_mp symbols expose SndCurve consumers Com_GetVolumeFalloffCurveValue/Com_GetVolumeFalloffCurve and PDB strings include knots and knotCount","Former KnotBytes; fixed storage is 16 pairs even when KnotCount is lower"
"TechniqueSet","MaterialPassAsset","VertexDeclaration","0x00 child","0x1C","MaterialVertexDeclarationAsset","RESOLVED","PS3 Techset pass loader resolves the direct child at MaterialPass +0x00 through Load_MaterialVertexDeclaration 0x000E8B90 and copies a fixed 0x1C-byte object in the current LARGE stream with 4-byte alignment. The active model now exposes the child object instead of pass-owned VertexDeclBytes.","common_mp pointer validation repeatedly proves MaterialVertexDeclarationAsset targets as materialized 0x1C-byte direct children under MaterialPass","Xbox PDB/map names the matching loader family and struct members: MaterialVertexDeclaration.streamCount, hasOptionalSource, and routing; routingData consumer strings reference source and dest","Former VertexDeclBytes; internal payload is StreamCount, HasOptionalSource, and 13 MaterialVertexStreamRouting source/dest pairs"
"TechniqueSet","MaterialShaderArgumentAsset","LiteralConstant","arg +0x04 child","0x10","MaterialShaderLiteralConstant?","RESOLVED","PS3 shader argument branch 0x000F81C8 -> 0x000F80A0 proves argument kinds 1 and 7 use the pointer-style child at arg +0x04; inline payload aligns through mask 0x0F and loader 0x000EC610 consumes 4 floats / 16 bytes. Offset pointers are validated/deferred, not consumed from source immediately.","common_mp asset 5529 contains literal shader args including direct-offset payload targets in LARGE; active loader now validates offset literal targets as 0x10-byte MaterialShaderLiteralConstant and parses inline literals as four big-endian floats","Xbox MaterialShaderArgument enum names correlate kinds 1/7 as MTL_ARG_LITERAL_VERTEX_CONST and MTL_ARG_LITERAL_PIXEL_CONST; PDB strings include literal shader constant consumers","Former LiteralFloat4Bytes; branch semantics remain distinct from code const/material/sampler argument union cases"
"Vehicle","VehicleDefAsset","RootBytes","0x00","0x2D0","typed VehicleDef fields","RESOLVED","Active VehicleDef root snapshot removed. PS3 VehicleDef loader copies a fixed 0x2D0 root, then resolves child pointers at the proven offsets: name +0x00, useHintString +0x08, VehiclePhysDef +0x0A8, turret weapon name/pointer +0x198/+0x19C, trophy script strings +0x1D0, compass materials +0x1D8/+0x1DC, named sound alias cells through +0x240, surfaceSnds[31] at +0x244, and tail floats through +0x2CC.","Active Models/Loaders targeted builds pass with full root cursor assertions; field order reaches exact 0x2D0 end","Xbox default_mp PDB type strings expose the ordered VehicleDef member list from name/type/useHintString through surfaceSndBlendSpeed/slideVolume/slideBlendSpeed/inAirPitch; this aligns with PS3 loader offsets and child order","Former RootBytes split into named scalar, vector, enum, sound, material, script-string, and nested VehiclePhysDef fields"
"Vehicle","PhysPresetAsset","RootBytes","0x00","0x2C","typed PhysPreset fields","RESOLVED","Active PhysPreset root snapshot removed. PS3 Load_PhysPreset copies fixed 0x2C root and resolves XString name at +0x00 and sndAliasPrefix at +0x1C; the remaining dword/float/byte fields now fill the full root with an exact end assertion.","Active Models/Loaders targeted builds pass with full 0x2C parser assertion","Xbox default_mp PDB type strings expose ordered PhysPreset fields: name, type, mass, bounce, friction, bulletForceScale, explosiveForceScale, sndAliasPrefix, piecesSpreadFraction, piecesUpwardVelocity, tempDefaultToCylinder, perSurfaceSndAlias; the final two fit PS3 0x2C as bytes plus pad2A","Former RootBytes split into typed PhysPreset scalar fields while preserving pointer metadata"
"Weapon","WeaponDef","PlayerAnimType","0x028","0x04","int32","RESOLVED","Active WeaponDef loader reads +0x028 between note-track pointer cells and weaponType; field is now exposed as PlayerAnimType while preserving the PS3 root order.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list places playerAnimType immediately before weapType and weapClass, matching the PS3 field slot","Former Unknown028"
"Weapon","WeaponDef","PenetrateType/InventoryType/FireType/OffhandClass/Stance","0x034","0x14","enum int32[5]","RESOLVED","Active WeaponDef loader reads five dwords after weaponClass at +0x034..+0x044 in one fixed root copy; fields are now exposed individually in that order.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names the five fields penetrateType, inventoryType, fireType, offhandClass, stance; enum value strings are present in the PDB string table","Former Unknown034To044"
"Weapon","WeaponDef","Reticle","0x128","0x10","WeaponReticleFields","RESOLVED","Active WeaponDef loader reads four dwords immediately after reticleCenter/reticleSide material alias cells at +0x120/+0x124, preserving root order at +0x128..+0x134.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names this sequence iReticleCenterSize, iReticleSideSize, iReticleMinOfs, activeReticleType; PDB enum strings expose activeReticleType_t values None/PipOnAStick/BouncingDiamond/Count","Former ReticleFields aggregate"
"Weapon","WeaponDef","ViewMovement","0x138","0x78","WeaponViewMovementFields","RESOLVED","Active WeaponDef loader reads this fixed root region as ten ordered Vec3 values after activeReticleType and before positional movement scalars, preserving the original +0x138..+0x1AC dword slots.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names vStandMove, vStandRot, strafeMove, strafeRot, vDuckedOfs, vDuckedMove, vDuckedRot, vProneOfs, vProneMove, vProneRot in this exact position","Former ViewMovementRotationFields int32[30] aggregate"
"Weapon","WeaponDef","PositionalMovement","0x1B0","0x28","WeaponPositionalMovementFields","RESOLVED","Active WeaponDef loader reads this fixed root region as ten float scalars immediately after the ten view Vec3 values and before world model pointers.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names fPosMoveRate, fPosProneMoveRate, fStandMoveMinSpeed, fDuckedMoveMinSpeed, fProneMoveMinSpeed, fPosRotRate, fPosProneRotRate, fStandRotMinSpeed, fDuckedRotMinSpeed, fProneRotMinSpeed","Former PositionalMovementRotationFields int32[10] aggregate"
"Weapon","WeaponIconPointers","AmmoCounterIconRatio/AmmoCounterClip/StartAmmo","0x200","0x0C","int32, AmmoCounterClipType, int32","RESOLVED","Active WeaponDef loader reads these three dwords after hudIcon/pickupIcon/ammoCounterIcon material cells and before the +0x20C XString slot, preserving the PS3 root copy order.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names the surrounding sequence hudIcon, hudIconRatio, pickupIcon, pickupIconRatio, ammoCounterIcon, ammoCounterIconRatio, ammoCounterClip, iStartAmmo; PDB enum strings expose ammoCounterClipType_t values","Former OverlayFieldsA aggregate; adjacent icon pointer labels were corrected to HudIcon/PickupIcon/AmmoCounterIcon"
"Weapon","WeaponAmmoFields","MaxAmmo/ShotCount","0x21C","0x08","int32[2]","RESOLVED","Active WeaponDef loader reads these two dwords after szAmmoName/iAmmoIndex/szClipName/iClipIndex and before the shared-ammo-cap XString at +0x224.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names +0x21C/+0x220 as iMaxAmmo and shotCount in this exact field sequence","Former OverlayFieldsB aggregate"
"Weapon","WeaponAmmoFields","SharedAmmoCap/Damage/PlayerDamage/MeleeDamage/DamageType","0x22C","0x14","int32[5]","RESOLVED","Active WeaponDef loader reads these five dwords after szSharedAmmoCapName/iSharedAmmoCapIndex and before the timing region beginning at +0x240.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names iSharedAmmoCap, damage, playerDamage, iMeleeDamage, iDamageType in this exact field sequence","Former ModeFields aggregate"
"Weapon","WeaponDef","Timing","0x240","0xA0","WeaponTimingFields","RESOLVED","Active WeaponDef loader reads this fixed root region as forty ordered int32 timing fields immediately after DamageType and before aim movement tuning.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names iFireDelay through aiFuseTime in this exact 40-field sequence","Former WeaponTimingFields int32[40] aggregate"
"Weapon","WeaponDef","AimMovementTuning","0x2E0","0x28","WeaponAimMovementTuningFields","RESOLVED","Active WeaponDef loader reads this fixed root region as ten float tuning fields immediately after aiFuseTime and before the four overlay material pointers.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names autoAimRange, aimAssistRange, aimAssistRangeAds, aimPadding, enemyCrosshairRange, moveSpeedScale, adsMoveSpeedScale, sprintDurationScale, fAdsZoomInFrac, fAdsZoomOutFrac","Former AimMovementTuningFields int32[10] aggregate"
